time,source,destination,status
93009,70,38,up
93362,94,28,up
93655,13,5,down
93711,94,28,down
94461,7,84,up
94461,7,84,down
95155,38,70,up
95580,70,38,down
95592,13,5,up
97040,38,70,down
97164,70,38,up
97164,70,38,down
97473,80,20,up
97473,80,84,up
97473,80,5,up
97473,80,13,up
97473,80,20,down
97473,80,84,down
97505,88,84,up
97582,28,70,up
97713,28,70,down
97786,80,5,down
97808,70,13,up
97808,70,84,up
97808,70,88,up
97808,70,13,down
97833,88,70,up
97844,13,80,up
97860,28,57,up
97905,28,38,up
98033,28,5,up
98055,38,94,up
98055,38,57,up
98055,38,94,down
98055,38,57,down
98157,13,5,down
98178,28,94,down
98235,28,26,up
98284,57,38,up
98284,57,28,up
98284,57,26,up
98284,57,38,down
98284,57,28,down
98376,38,26,up
98376,38,5,up
98376,38,26,down
98446,70,84,down
98446,70,88,down
98460,88,70,down
98470,13,80,down
98516,28,26,down
98516,28,57,down
98662,26,70,up
98662,26,57,up
98662,26,70,down
98698,38,28,up
98784,88,80,up
98784,88,80,down
98803,7,13,up
98803,7,80,up
98803,7,84,up
98803,7,88,up
98803,7,13,down
98803,7,80,down
98803,7,84,down
98803,7,88,down
98975,26,57,down
99015,38,5,down
99087,80,20,up
99398,28,5,down
99416,13,5,up
99793,80,84,up
99793,80,5,up
99793,80,20,down
99793,80,84,down
99850,26,57,up
100368,13,80,up
100667,88,84,down
101293,70,57,up
101293,70,57,down
101305,28,94,up
101340,38,94,up
101402,80,94,up
101402,94,5,up
101402,94,13,up
101402,94,80,up
101402,94,28,up
101402,94,88,up
101402,94,38,up
101402,80,94,down
101402,94,5,down
101402,94,13,down
101402,94,80,down
101615,28,5,up
101615,28,5,down
101715,94,28,down
101987,28,9,up
101987,28,62,up
102029,38,9,up
102029,38,90,up
102029,38,62,up
102035,94,88,down
102047,80,13,down
102082,28,90,up
102135,28,67,up
102266,13,5,down
102266,13,80,down
102285,88,94,up
102285,88,94,down
102345,38,67,up
102345,38,67,down
102359,28,67,down
102360,80,5,down
102454,28,69,up
102674,94,62,up
102674,94,9,up
102674,94,90,up
102674,94,69,up
102674,94,62,down
102674,94,9,down
102674,94,38,down
102674,94,90,down
102674,94,69,down
102684,38,69,up
102684,38,28,down
102696,80,88,up
102696,80,88,down
102792,7,20,up
102792,7,20,down
102998,38,9,down
102998,38,90,down
102998,38,69,down
103043,80,84,up
103043,80,84,down
103073,28,90,down
103073,28,69,down
103116,7,84,up
103204,28,9,down
103311,38,62,down
103434,7,84,down
103435,28,62,down
103544,14,96,up
103544,14,96,down
103548,96,14,up
103548,96,14,down
103693,28,5,up
103811,28,85,up
103868,88,84,up
103995,28,5,down
104005,85,38,up
104005,85,28,up
104005,85,94,up
104102,28,14,up
104102,28,14,down
104650,80,7,up
104650,80,7,down
104800,14,41,up
104800,14,41,down
104924,38,85,up
104924,38,28,up
105237,57,26,down
105346,61,5,up
105346,61,5,down
105419,56,14,up
105419,56,14,down
105513,26,57,down
105622,28,56,up
105681,85,56,up
105681,85,38,down
105815,56,28,up
106132,56,85,up
106431,28,95,up
106494,56,94,up
106494,56,95,up
106571,38,85,down
106571,38,28,down
